Season,Guest star,Role(s),No.,Prod. code,Episode title
1,Marcia Wallace,Edna Krabappel::Ms. Melon,002–102,7G02,"""Bart the Genius"""
1,Sam McMurray,Worker,003–103,7G03,"""Homer's Odyssey"""
1,Marcia Wallace,Edna Krabappel,003–103,7G03,"""Homer's Odyssey"""
1,Miriam Flynn,Ms. Barr,006–106,7G06,"""Moaning Lisa"""
1,Ron Taylor,Bleeding Gums Murphy,006–106,7G06,"""Moaning Lisa"""
1,Albert Brooks,Cowboy Bob,007–107,7G09,"""The Call of the Simpsons"""
1,Marcia Wallace,Edna Krabappel,008–108,7G07,"""The Telltale Head"""
1,Albert Brooks,Jacques,009–109,7G11,"""Life on the Fast Lane"""
1,Sam McMurray,Gulliver Dark,010–110,7G10,"""Homer's Night Out"""
1,Christian Coffinet,Gendarme Officer,011–111,7G13,"""The Crepes of Wrath"""
1,Kelsey Grammer,Sideshow Bob,012–112,7G12,"""Krusty Gets Busted"""
1,June Foray,Babysitter service receptionist::Doofy the Elf,013–113,7G01,"""Some Enchanted Evening"""
1,Penny Marshall,Ms. Botz / Lucille Botzcowski,013–113,7G01,"""Some Enchanted Evening"""
1,Paul Willson,Florist,013–113,7G01,"""Some Enchanted Evening"""
2,Marcia Wallace,Edna Krabappel,014–201,7F03,"""Bart Gets an ""F"""""
2,Harvey Fierstein,Karl,015–202,7F02,"""Simpson and Delilah"""
2,James Earl Jones,Removal man::Serak the Preparer::Narrator,016–203,7F04,"""Treehouse of Horror"""
2,Tony Bennett,Himself,018–205,7F05,"""Dancin' Homer"""
2,Daryl Coley,Bleeding Gums Murphy,018–205,7F05,"""Dancin' Homer"""
2,Ken Levine,Dan Horde,018–205,7F05,"""Dancin' Homer"""
2,Tom Poston,Capital City Goofball,018–205,7F05,"""Dancin' Homer"""
2,Greg Berg,"Rory::Eddie::Radio voice::""Hooray for Everything"" Announcer::Security Man",020–207,7F07,"""Bart vs. Thanksgiving"""
2,Carol Kane,Maggie Simpson,020–207,7F07,"""Bart vs. Thanksgiving"""
2,Alex Rocco,Roger Meyers Jr.,022–209,7F09,"""Itchy & Scratchy & Marge"""
2,Phil Hartman,Lionel Hutz::Heaven,023–210,7F10,"""Bart Gets Hit by a Car"""
2,Larry King,Himself,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Joey Miyashima,Toshiro,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Sab Shimono,Master Sushi Chef,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,George Takei,Akira,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Diana Tanaka,Hostess,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Jon Lovitz,Artie Ziff::Mr. Seckofsky,025–212,7F12,"""The Way We Was"""
2,Phil Hartman,Troy McClure::Moses::Cable guy,026–213,7F13,"""Homer vs. Lisa and the 8th Commandment"""
2,Marcia Wallace,Edna Krabappel,027–214,7F15,"""Principal Charming"""
2,Danny DeVito,Herbert Powell,028–215,7F16,"""Oh Brother, Where Art Thou?"""
2,Tracey Ullman,Emily Winthropp::Sylvia Winfield,029–216,7F14,"""Bart's Dog Gets an F"""
2,Frank Welker,Santa's Little Helper::Additional dog voices,029–216,7F14,"""Bart's Dog Gets an F"""
2,Phil Hartman,Lionel Hutz::Plato,030–217,7F17,"""Old Money"""
2,Audrey Meadows,Bea Simmons,030–217,7F17,"""Old Money"""
2,Marcia Wallace,Edna Krabappel,030–217,7F17,"""Old Money"""
2,Jon Lovitz,Professor Lombardo,031–218,7F18,"""Brush with Greatness"""
2,Ringo Starr,Himself,031–218,7F18,"""Brush with Greatness"""
2,Dustin Hoffman,Mr. Bergstrom,032–219,7F19,"""Lisa's Substitute"""
2,Marcia Wallace,Edna Krabappel,032–219,7F19,"""Lisa's Substitute"""
2,Cloris Leachman,Mrs. Glick,034–221,7F21,"""Three Men and a Comic Book"""
2,Daniel Stern,Narrator,034–221,7F21,"""Three Men and a Comic Book"""
3,Michael Jackson,Leon Kompowsky,036–301,7F24,"""Stark Raving Dad""::"
3,Kipp Lennon,Leon Kompowsky's singing voice,036–301,7F24,"""Stark Raving Dad"""
3,Lona Williams,Minnesota girl,037–302,8F01,"""Mr. Lisa Goes to Washington"""
3,Neil Patrick Harris,Himself playing Bart Simpson,039–304,8F03,"""Bart the Murderer"""
3,Phil Hartman,Lionel Hutz::Troy McClure::Joey::Godfather,039–304,8F03,"""Bart the Murderer"""
3,Joe Mantegna,Fat Tony::Himself playing Fat Tony,039–304,8F03,"""Bart the Murderer"""
3,Marcia Wallace,Edna Krabappel,039–304,8F03,"""Bart the Murderer"""
3,Chick Hearn,Himself,040–305,8F04,"""Homer Defined"""
3,Magic Johnson,Himself,040–305,8F04,"""Homer Defined"""
3,Jon Lovitz,Aristotle Amadopolis::Mr. Devaro,040–305,8F04,"""Homer Defined"""
3,Jackie Mason,Rabbi Hyman Krustofsky,041–306,8F05,"""Like Father, Like Clown"""
3,Marcia Wallace,Edna Krabappel,042–307,8F02,"""Treehouse of Horror II"""
3,Marcia Wallace,Edna Krabappel,043–308,8F06,"""Lisa's Pony"""
3,Frank Welker,Princess,043–308,8F06,"""Lisa's Pony"""
3,Phil Hartman,Troy McClure,044–309,8F07,"""Saturdays of Thunder"""
3,Larry McKay,Announcer,044–309,8F07,"""Saturdays of Thunder"""
3,Aerosmith,Themselves,045–310,8F08,"""Flaming Moe's"""
3,Phil Hartman,Lionel Hutz,045–310,8F08,"""Flaming Moe's"""
3,Kipp Lennon,"Sings ""Flaming Moe's"" (parody of the Cheers theme song)",045–310,8F08,"""Flaming Moe's"""
3,Marcia Wallace,Edna Krabappel,045–310,8F08,"""Flaming Moe's"""
3,Phil Hartman,Horst::Stockbroker,046–311,8F09,"""Burns Verkaufen der Kraftwerk"""
3,Sting,Himself,048–313,8F11,"""Radio Bart"""
3,Marcia Wallace,Edna Krabappel,048–313,8F11,"""Radio Bart"""
3,Phil Hartman,Troy McClure::Smooth Jimmy Apollo,049–314,8F12,"""Lisa the Greek"""
3,Phil Hartman,Troy McClure,050–315,8F14,"""Homer Alone"""
3,Marcia Wallace,Edna Krabappel,051–316,8F16,"""Bart the Lover"""
3,Wade Boggs,Himself,052–317,8F13,"""Homer at the Bat"""
3,Jose Canseco,Himself,052–317,8F13,"""Homer at the Bat"""
3,Roger Clemens,Himself,052–317,8F13,"""Homer at the Bat"""
3,Terry Cashman,"Sings ""Talkin' Softball"" (parody of the song Talkin' Baseball)",052–317,8F13,"""Homer at the Bat"""
3,"Ken Griffey, Jr.",Himself,052–317,8F13,"""Homer at the Bat"""
3,Don Mattingly,Himself,052–317,8F13,"""Homer at the Bat"""
3,Steve Sax,Himself,052–317,8F13,"""Homer at the Bat"""
3,Mike Scioscia,Himself,052–317,8F13,"""Homer at the Bat"""
3,Ozzie Smith,Himself,052–317,8F13,"""Homer at the Bat"""
3,Darryl Strawberry,Himself,052–317,8F13,"""Homer at the Bat"""
3,Steve Allen,Electronically altered voice of Bart,053–318,8F15,"""Separate Vocations"""
3,Marcia Wallace,Edna Krabappel,053–318,8F15,"""Separate Vocations"""
3,Frank Welker,Santa's Little Helper,054–319,8F17,"""Dog of Death"""
3,Beverly D'Angelo,Lurleen Lumpkin,055–320,8F19,"""Colonel Homer"""
3,Kelsey Grammer,Sideshow Bob,056–321,8F20,"""Black Widower"""
3,Christopher Guest,Nigel Tufnel,057–322,8F21,"""The Otto Show"""
3,Michael McKean,David St. Hubbins,057–322,8F21,"""The Otto Show"""
3,Phil Hartman,Troy McClure,058–323,8F22,"""Bart's Friend Falls in Love"""
3,Kimmy Robertson,Samantha Stanky,058–323,8F22,"""Bart's Friend Falls in Love"""
3,Marcia Wallace,Edna Krabappel,058–323,8F22,"""Bart's Friend Falls in Love"""
3,Danny DeVito,Herbert Powell,058–323,8F23,"""Brother, Can You Spare Two Dimes?"""
3,Joe Frazier,Himself,058–323,8F23,"""Brother, Can You Spare Two Dimes?"""
4,Gene Merlino,"Sings ""South of the Border""",060–401,8F24,"""Kamp Krusty"""
4,Marcia Wallace,Edna Krabappel,060–401,8F24,"""Kamp Krusty"""
4,Phil Hartman,Troy McClure::Lionel Hutz,061–402,8F18,"""A Streetcar Named Marge"""
4,Jon Lovitz,Llewellyn Sinclair::Ms. Sinclair,061–402,8F18,"""A Streetcar Named Marge"""
4,Lona Williams,Debra Jo Smallwood,061–402,8F18,"""A Streetcar Named Marge"""
4,Bob Hope,Himself,063–404,9F02,"""Lisa the Beauty Queen"""
4,Lona Williams,Amber Dempsey,063–404,9F02,"""Lisa the Beauty Queen"""
4,Marcia Wallace,Edna Krabappel,064–405,9F04,"""Treehouse of Horror III"""
4,Neil Armstrong (archival),Himself,065–406,9F03,"""Itchy & Scratchy: The Movie"""
4,Marcia Wallace,Edna Krabappel,065–406,9F03,"""Itchy & Scratchy: The Movie"""
4,Phil Hartman,Troy McClure::Lionel Hutz,066–407,9F05,"""Marge Gets a Job"""
4,Tom Jones,Himself,066–407,9F05,"""Marge Gets a Job"""
4,Marcia Wallace,Edna Krabappel,066–407,9F05,"""Marge Gets a Job"""
4,Sara Gilbert,Laura Powers,067–408,9F06,"""New Kid on the Block"""
4,Phil Hartman,Lionel Hutz,067–408,9F06,"""New Kid on the Block"""
4,Pamela Reed,Ruth Powers,067–408,9F06,"""New Kid on the Block"""
4,Phil Hartman,Troy McClure,068–409,9F07,"""Mr. Plow"""
4,Linda Ronstadt,Herself,068–409,9F07,"""Mr. Plow"""
4,Adam West,Himself,068–409,9F07,"""Mr. Plow"""
4,Elizabeth Taylor,Maggie Simpson,069–410,9F08,"""Lisa's First Word"""
4,Phil Hartman,Lyle Lanley,071–412,9F10,"""Marge vs. the Monorail"""
4,Leonard Nimoy,Himself,071–412,9F10,"""Marge vs. the Monorail"""
4,Phil Hartman,Lionel Hutz::Troy McClure::Security Guard::Mandy Patinkin,072–413,9F11,"""Selma's Choice"""
4,Michele Pillar,"Sings ""A Natural Woman""",072–413,9F11,"""Selma's Choice"""
4,Phil Hartman,Tom::Eddie Muntz,073–414,9F12,"""Brother from the Same Planet"""
4,Marcia Wallace,Edna Krabappel,073–414,9F12,"""Brother from the Same Planet"""
4,Michael Carrington,Krusty Anniversary Show Announcer::Sideshow Raheem,074–415,9F13,"""I Love Lisa"""
4,Phil Hartman,Troy McClure::Lionel Hutz,075–416,9F14,"""Duffless"""
4,Kipp Lennon,"Sings ""Raindrops Keep Fallin' on My Head""",075–416,9F14,"""Duffless"""
4,Marcia Wallace,Edna Krabappel,075–416,9F14,"""Duffless"""
4,Joyce Brothers,Herself,076–417,9F15,"""Last Exit to Springfield"""
4,Brooke Shields,Herself,078–419,9F16,"""The Front"""
4,Gene Merlino,"Sings ""Born Free""",079–420,9F18,"""Whacking Day"""
4,Barry White,Himself,079–420,9F18,"""Whacking Day"""
4,David Crosby,Himself,080–421,9F20,"""Marge in Chains"""
4,Phil Hartman,Troy McClure::Lionel Hutz,080–421,9F20,"""Marge in Chains"""
4,Johnny Carson,Himself,081–422,9F19,"""Krusty Gets Kancelled"""
4,Hugh Hefner,Himself,081–422,9F19,"""Krusty Gets Kancelled"""
4,Bette Midler,Herself,081–422,9F19,"""Krusty Gets Kancelled"""
4,Luke Perry,Himself,081–422,9F19,"""Krusty Gets Kancelled"""
4,Red Hot Chili Peppers,Themselves,081–422,9F19,"""Krusty Gets Kancelled"""
4,Elizabeth Taylor,Herself,081–422,9F19,"""Krusty Gets Kancelled"""
4,Marcia Wallace,Edna Krabappel,081–422,9F19,"""Krusty Gets Kancelled"""
4,Barry White,Himself,081–422,9F19,"""Krusty Gets Kancelled"""
5,David Crosby,Himself,082–501,9F21,"""Homer's Barbershop Quartet"""
5,The Dapper Dans,The singing voices of the Be Sharps,082–501,9F21,"""Homer's Barbershop Quartet"""
5,George Harrison,Himself,082–501,9F21,"""Homer's Barbershop Quartet"""
5,Kelsey Grammer,Sideshow Bob,083–502,9F22,"""Cape Feare"""
5,Marcia Wallace,Edna Krabappel,083–502,9F22,"""Cape Feare"""
5,Ramones,Themselves,085–504,1F01,"""Rosebud"""
5,Phil Hartman,Lionel Hutz,086–505,1F04,"""Treehouse of Horror IV"""
5,Frank Welker,Gremlin,086–505,1F04,"""Treehouse of Horror IV"""
5,George Fenneman,Narrator,086–505,1F03,"""Marge on the Lam"""
5,Phil Hartman,Troy McClure::Lionel Hutz,086–505,1F03,"""Marge on the Lam"""
5,Pamela Reed,Ruth Powers::Truck-stop Waitress,086–505,1F03,"""Marge on the Lam"""
5,Albert Brooks,Brad Goodman,088–507,1F05,"""Bart's Inner Child"""
5,James Brown,Himself,088–507,1F05,"""Bart's Inner Child"""
5,Phil Hartman,Troy McClure,088–507,1F05,"""Bart's Inner Child"""
5,Marcia Wallace,Edna Krabappel,088–507,1F05,"""Bart's Inner Child"""
5,Ernest Borgnine,Himself,089–508,1F06,"""Boy-Scoutz 'n the Hood"""
5,Marcia Wallace,Edna Krabappel,089–508,1F06,"""Boy-Scoutz 'n the Hood"""
5,Phil Hartman,Lionel Hutz,091–510,1F08,"""The Last Temptation of Homer"""
5,Werner Klemperer,Colonel Klink,091–510,1F08,"""The Last Temptation of Homer"""
5,Michelle Pfeiffer,Mindy Simmons,091–510,1F08,"""The Last Temptation of Homer"""
5,Marcia Wallace,Edna Krabappel,091–510,1F08,"""The Last Temptation of Homer"""
5,Gerry Cooney,Himself,091–510,1F08,"""$pringfield (Or, How I Learned to::Stop Worrying and Love Legalized Gambling)"""
5,Robert Goulet,Himself,091–510,1F08,"""$pringfield (Or, How I Learned to::Stop Worrying and Love Legalized Gambling)"""
5,Sam Neill,Molloy,092–511,1F09,"""Homer the Vigilante"""
5,Conan O'Brien,Himself,093–512,1F11,"""Bart Gets Famous"""
5,Marcia Wallace,Edna Krabappel,093–512,1F11,"""Bart Gets Famous"""
5,Michael Carrington,Black comedian,094–513,1F10,"""Homer and Apu"""
5,James Woods,Himself,094–513,1F10,"""Homer and Apu"""
5,Kathleen Turner,Stacy Lovell,095–514,1F12,"""Lisa vs. Malibu Stacy"""
5,Buzz Aldrin,Himself,096–515,1F13,"""Deep Space Homer"""
5,James Taylor,Himself,096–515,1F13,"""Deep Space Homer"""
5,Phil Hartman,Lionel Hutz,099–518,1F16,"""Burns' Heir"""
5,Marcia Wallace,Edna Krabappel,100–519,1F18,"""Sweet Seymour Skinner's Baadasssss Song"""
5,Frank Welker,Santa's Little Helper,100–519,1F18,"""Sweet Seymour Skinner's Baadasssss Song"""
5,Phil Hartman,Lionel Hutz,101–520,1F19,"""The Boy Who Knew Too Much"""
5,Marcia Wallace,Edna Krabappel,101–520,1F19,"""The Boy Who Knew Too Much"""
5,Phil Hartman,Troy McClure,102–521,1F21,"""Lady Bouvier's Lover"""
5,Kipp Lennon,"Sings ""The Sound of Grampa"" (parody of the song The Sound of Silence)",102–521,1F21,"""Lady Bouvier's Lover"""
5,Phil Hartman,Lionel Hutz,103–522,1F20,"""Secrets of a Successful Marriage"""
5,Marcia Wallace,Edna Krabappel,103–522,1F20,"""Secrets of a Successful Marriage"""
6,Winona Ryder,Allison Taylor,105–602,1F17,"""Lisa's Rival"""
6,Henry Corden,Fred Flintstone,108–605,2F02,"""Sideshow Bob Roberts"""
6,Dr. Demento,Himself,108–605,2F02,"""Sideshow Bob Roberts"""
6,Kelsey Grammer,Sideshow Bob,108–605,2F02,"""Sideshow Bob Roberts"""
6,Phil Hartman,Lionel Hutz,108–605,2F02,"""Sideshow Bob Roberts"""
6,Larry King,Himself,108–605,2F02,"""Sideshow Bob Roberts"""
6,Marcia Wallace,Edna Krabappel,108–605,2F02,"""Sideshow Bob Roberts"""
6,James Earl Jones,Alternate Universe Maggie Simpson,109–606,2F03,"""Treehouse of Horror V"""
6,Marcia Wallace,Edna Krabappel,109–606,2F03,"""Treehouse of Horror V"""
6,Meryl Streep,Jessica Lovejoy,110–607,2F04,"""Bart's Girlfriend"""
6,Marcia Wallace,Edna Krabappel,111–608,2F05,"""Lisa on Ice"""
6,Dennis Franz,Himself playing Homer Simpson,112–609,2F06,"""Homer Badman"""
6,Phil Hartman,Troy McClure,113–610,2F07,"""Grampa vs. Sexual Inadequacy"""
6,Anne Bancroft,Dr. Zweig,114–611,2F08,"""Fear of Flying"""
6,Ted Danson,Sam Malone,114–611,2F08,"""Fear of Flying"""
6,Woody Harrelson,Woody Boyd,114–611,2F08,"""Fear of Flying"""
6,John Ratzenberger,Cliff Clavin,114–611,2F08,"""Fear of Flying"""
6,Rhea Perlman,Carla Tortelli,114–611,2F08,"""Fear of Flying"""
6,George Wendt,Norm Peterson,114–611,2F08,"""Fear of Flying"""
6,Patrick Stewart,Number One,115–612,2F09,"""Homer the Great"""
6,Dick Cavett,Himself,118–615,2F12,"""Homie the Clown"""
6,Joe Mantegna,Fat Tony,118–615,2F12,"""Homie the Clown"""
6,Johnny Unitas,Himself,118–615,2F12,"""Homie the Clown"""
6,Phil Hartman,Evan Conover,119–616,2F13,"""Bart vs. Australia"""
6,Mel Brooks,Himself,120–617,2F14,"""Homer vs. Patty and Selma"""
6,Susan Sarandon,Ballet teacher,120–617,2F14,"""Homer vs. Patty and Selma"""
6,Phil Hartman,Charlton Heston,121–618,2F31,"""A Star Is Burns"""
6,Maurice LaMarche,George C. Scott::Hannibal Lecter::Captain James T. Kirk::Eudora Welty,121–618,2F31,"""A Star Is Burns"""
6,Jon Lovitz,Jay Sherman,121–618,2F31,"""A Star Is Burns"""
6,Phil Hartman,Troy McClure,122–619,2F15,"""Lisa's Wedding"""
6,Mandy Patinkin,Hugh Parkfield,122–619,2F15,"""Lisa's Wedding"""
6,Frank Welker,Santa's Little Helper::Various dogs,123–620,2F18,"""Two Dozen and One Greyhounds"""
6,Marcia Wallace,Edna Krabappel,124–621,2F19,"""The PTA Disbands"""
6,Steve Allen,Himself,125–622,2F32,"""'Round Springfield"""
6,Phil Hartman,Lionel Hutz,125–622,2F32,"""'Round Springfield"""
6,Ron Taylor,Bleeding Gums Murphy,125–622,2F32,"""'Round Springfield"""
6,Marcia Wallace,Edna Krabappel,125–622,2F32,"""'Round Springfield"""
6,Phil Hartman,Lionel Hutz,126–623,2F21,"""The Springfield Connection"""
6,Marcia Wallace,Edna Krabappel,126–623,2F21,"""The Springfield Connection"""
6,Marcia Wallace,Edna Krabappel,127–624,2F22,"""Lemon of Troy"""
6,Tito Puente,Himself,128–625,2F16,"""Who Shot Mr. Burns? Part 1"""
7,Tito Puente,Himself,129–701,2F20,"""Who Shot Mr. Burns? Part 2"""
7,Phil Hartman,Lionel Hutz,130–702,2F17,"""Radioactive Man"""
7,Mickey Rooney,Himself,130–702,2F17,"""Radioactive Man"""
7,Joan Kenley,Telephone voice,131–703,3F01,"""Home Sweet Homediddly-Dum-Doodily"""
7,Marcia Wallace,Edna Krabappel,131–703,3F01,"""Home Sweet Homediddly-Dum-Doodily"""
7,Frank Welker,Monkey,131–703,3F01,"""Home Sweet Homediddly-Dum-Doodily"""
7,Phil Hartman,Troy McClure,133–705,3F03,"""Lisa the Vegetarian"""
7,Linda McCartney,Herself,133–705,3F03,"""Lisa the Vegetarian"""
7,Paul McCartney,Himself,133–705,3F03,"""Lisa the Vegetarian"""
7,Paul Anka,Himself,134–706,3F04,"""Treehouse of Horror VI"""
7,Marcia Wallace,Edna Krabappel,134–706,3F04,"""Treehouse of Horror VI"""
7,Joan Kenley,Telephone voice,135–707,3F05,"""King-Size Homer"""
7,Glenn Close,Mona Simpson,136–708,3F06,"""Mother Simpson"""
7,Harry Morgan,Bill Gannon,136–708,3F06,"""Mother Simpson"""
7,R. Lee Ermey,Colonel Leslie Hapablap,137–709,3F08,"""Sideshow Bob's Last Gleaming"""
7,Kelsey Grammer,Sideshow Bob,137–709,3F08,"""Sideshow Bob's Last Gleaming"""
7,Phil Hartman,Troy McClure::Lionel Hutz,138–710,3F31,"""The Simpsons 138th Episode Spectacular""::"
7,Phil Hartman,Troy McClure,139–711,3F07,"""Marge Be Not Proud"""
7,Lawrence Tierney,Don Brodka,139–711,3F07,"""Marge Be Not Proud"""
7,Marcia Wallace,Edna Krabappel,140–712,3F10,"""Team Homer"""
7,Tom Kite,Himself,142–714,3F11,"""Scenes from the Class Struggle in Springfield"""
7,Phil Hartman,Troy McClure,143–715,3F12,"""Bart the Fink"""
7,Bob Newhart,Himself,143–715,3F12,"""Bart the Fink"""
7,Phil Hartman,Troy McClure,144–716,3F13,"""Lisa the Iconoclast"""
7,Donald Sutherland,Hollis Hurlbut,144–716,3F13,"""Lisa the Iconoclast"""
7,Marcia Wallace,Edna Krabappel,144–716,3F13,"""Lisa the Iconoclast"""
7,Kirk Douglas,Chester J. Lampwick,146–718,3F16,"""The Day the Violence Died"""
7,Phil Hartman,Lionel Hutz,146–718,3F16,"""The Day the Violence Died"""
7,Alex Rocco,Roger Meyers Jr.,146–718,3F16,"""The Day the Violence Died"""
7,Jack Sheldon,Amendment,146–718,3F16,"""The Day the Violence Died"""
7,Suzanne Somers,Herself,146–718,3F16,"""The Day the Violence Died"""
7,Jeff Goldblum,MacArthur Parker,147–719,3F15,"""A Fish Called Selma"""
7,Phil Hartman,Troy McClure::Fat Tony,147–719,3F15,"""A Fish Called Selma"""
7,Jim Lau,Hong Kong doctor,148–720,3F17,"""Bart on the Road"""
7,Phil Hartman,Lionel Hutz::Hospital chairman,149–721,3F18,"""22 Short Films About Springfield"""
7,Marcia Wallace,Edna Krabappel,150–722,3F19,"""Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""""
7,Joe Mantegna,Fat Tony,151–723,3F20,"""Much Apu About Nothing"""
7,Cypress Hill,Themselves,152–724,3F21,"""Homerpalooza"""
7,Peter Frampton,Himself,152–724,3F21,"""Homerpalooza"""
7,The Smashing Pumpkins,Themselves,152–724,3F21,"""Homerpalooza"""
7,Sonic Youth,Themselves,152–724,3F21,"""Homerpalooza"""
7,Christina Ricci,Erin,153–725,3F22,"""Summer of 4 Ft. 2"""
7,Marcia Wallace,Edna Krabappel,153–725,3F22,"""Summer of 4 Ft. 2"""
8,Phil Hartman,Bill Clinton,154–801,4F02,"""Treehouse of Horror VII"""
8,Albert Brooks,Hank Scorpio,155–802,3F23,"""You Only Move Twice"""
8,Sally Stevens,"Sings ""Scorpio""",155–802,3F23,"""You Only Move Twice"""
8,Michael Buffer,Himself,156–803,4F03,"""The Homer They Fall"""
8,Sally Stevens,"Sings ""People""",156–803,4F03,"""The Homer They Fall"""
8,Paul Winfield,Lucius Sweet,156–803,4F03,"""The Homer They Fall"""
8,Rodney Dangerfield,Larry Burns,157–804,4F05,"""Burns, Baby Burns"""
8,Jon Lovitz,Jay Sherman,161–808,4F07,"""Hurricane Neddy"""
8,Johnny Cash,Coyote,162–809,3F24,"""El Viaje Misterioso de Nuestro Jomer::(The Mysterious Voyage of Homer)"""
8,Gillian Anderson,Dana Scully,163–810,3G01,"""The Springfield Files"""
8,David Duchovny,Fox Mulder,163–810,3G01,"""The Springfield Files"""
8,Leonard Nimoy,Himself,163–810,3G01,"""The Springfield Files"""
8,Joe Mantegna,Fat Tony,164–811,4F08,"""The Twisted World of Marge Simpson"""
8,Jack Lemmon,Frank Ormand,164–811,4F08,"""The Twisted World of Marge Simpson"""
8,Marcia Wallace,Edna Krabappel,164–811,4F08,"""The Twisted World of Marge Simpson"""
8,Phil Hartman,Troy McClure,167–814,4F12,"""The Itchy & Scratchy & Poochie Show"""
8,Alex Rocco,Roger Meyers Jr.,167–814,4F12,"""The Itchy & Scratchy & Poochie Show"""
8,John Waters,John,168–815,4F11,"""Homer's Phobia"""
8,Kelsey Grammer,Sideshow Bob,169–816,4F14,"""Brother from Another Series"""
8,David Hyde Pierce,Cecil Terwilliger::Man in the crowd,169–816,4F14,"""Brother from Another Series"""
8,Marcia Wallace,Edna Krabappel,169–816,4F14,"""Brother from Another Series"""
8,Joe Mantegna,Fat Tony,171–818,4F15,"""Homer vs. the Eighteenth Amendment"""
8,Dave Thomas,Rex Banner,171–818,4F15,"""Homer vs. the Eighteenth Amendment"""
8,Michael Dees,"Sings ""Embraceable You""",172–819,4F09,"""Grade School Confidential"""
8,Marcia Wallace,Edna Krabappel,172–819,4F09,"""Grade School Confidential"""
8,Frank Welker,Santa's Little Helper::Laddie,173–820,4F16,"""The Canine Mutiny"""
8,Bret Hart,Himself,174–821,4F17,"""The Old Man and the Lisa"""
8,Denice Kumagai,Dancer,175–822,4F18,"""In Marge We Trust"""
8,Karen Maruyama,Dancer,175–822,4F18,"""In Marge We Trust"""
8,Sab Shimono,Mr. Sparkle,175–822,4F18,"""In Marge We Trust"""
8,Gedde Watanabe,Factory foreman,175–822,4F18,"""In Marge We Trust"""
8,Frank Welker,Baboons,175–822,4F18,"""In Marge We Trust"""
8,Frank Welker,Executive Vice President dog,176–823,4F19,"""Homer's Enemy"""
8,Tim Conway,Himself,177–824,4F20,"""The Simpsons Spin-Off Showcase"""
8,Phil Hartman,Troy McClure,177–824,4F20,"""The Simpsons Spin-Off Showcase"""
8,Gailard Sartain,"Charles ""Big"" Daddy",177–824,4F20,"""The Simpsons Spin-Off Showcase"""
8,Willem Dafoe,The Commandant,176–825,4F19,"""The Secret War of Lisa Simpson"""
8,Marcia Wallace,Edna Krabappel,176–825,4F19,"""The Secret War of Lisa Simpson"""
9,Michael Dees,"Sings ""New York, New York""",179–901,4F22,"""The City of New York vs. Homer Simpson"""
9,Joan Kenley,Telephone voice,179–901,4F22,"""The City of New York vs. Homer Simpson"""
9,Kipp Lennon,"Sings ""I'm Checking In""",179–901,4F22,"""The City of New York vs. Homer Simpson"""
9,Martin Sheen,The real Seymour Skinner,180–902,4F23,"""The Principal and the Pauper"""
9,Marcia Wallace,Edna Krabappel,180–902,4F23,"""The Principal and the Pauper"""
9,Fyvush Finkel,Himself playing Krusty,181–903,3G02,"""Lisa's Sax"""
9,Marcia Wallace,Edna Krabappel,182–904,5F02,"""Treehouse of Horror VIII"""
9,Roy Firestone,Himself,184–906,5F03,"""Bart Star"""
9,Mike Judge,Hank Hill,184–906,5F03,"""Bart Star"""
9,Joe Namath,Himself,184–906,5F03,"""Bart Star"""
9,Jan Hooks,Manjula Nahasapeemapetilon,185–907,5F04,"""The Two Mrs. Nahasapeemapetilons"""
9,Andrea Martin,Apu's mother,185–907,5F04,"""The Two Mrs. Nahasapeemapetilons"""
9,Marcia Wallace,Edna Krabappel,185–907,5F04,"""The Two Mrs. Nahasapeemapetilons"""
9,Stephen Jay Gould,Himself,186–908,5F05,"""Lisa the Skeptic"""
9,Phil Hartman,Lionel Hutz,186–908,5F05,"""Lisa the Skeptic"""
9,Marcia Wallace,Edna Krabappel,186–908,5F05,"""Lisa the Skeptic"""
9,Phil Hartman,Lionel Hutz,187–909,5F06,"""Realty Bites"""
9,Alex Trebek,Himself,188–910,5F07,"""Miracle on Evergreen Terrace"""
9,Marcia Wallace,Edna Krabappel,188–910,5F07,"""Miracle on Evergreen Terrace"""
9,Jim Varney,Cooder,190–912,5F08,"""Bart Carny"""
9,Marcia Wallace,Edna Krabappel,191–913,5F23,"""The Joy of Sect"""
9,Phil Hartman,Troy McClure,192–914,5F11,"""Das Bus"""
9,James Earl Jones,Narrator,192–914,5F11,"""Das Bus"""
9,Jack Ong,Fisherman,192–914,5F11,"""Das Bus"""
9,Bruce Baum,Himself,193–915,5F10,"""The Last Temptation of Krust"""
9,Janeane Garofalo,Herself,193–915,5F10,"""The Last Temptation of Krust"""
9,Bobcat Goldthwait,Himself,193–915,5F10,"""The Last Temptation of Krust"""
9,Jay Leno,Himself,193–915,5F10,"""The Last Temptation of Krust"""
